"DateTime";"Players";"Average Players";"Flags"
"2022-06-17 00:00:00";76292;;
"2022-06-18 00:00:00";76101;;
"2022-06-19 00:00:00";76404;;
"2022-06-20 00:00:00";73398;;
"2022-06-21 00:00:00";68420;;
"2022-06-22 00:00:00";62977;;
"2022-06-23 00:00:00";58130;;
"2022-06-24 00:00:00";67861;;
"2022-06-25 00:00:00";71479;;
"2022-06-26 00:00:00";76128;;
"2022-06-27 00:00:00";70323;;
"2022-06-28 00:00:00";68342;;
"2022-06-29 00:00:00";68547;;
"2022-06-30 00:00:00";68801;;
"2022-07-01 00:00:00";72731;;
"2022-07-02 00:00:00";73743;;
"2022-07-03 00:00:00";73924;;
"2022-07-04 00:00:00";70422;;
"2022-07-05 00:00:00";69051;;
"2022-07-06 00:00:00";70730;;
"2022-07-07 00:00:00";68102;;
"2022-07-08 00:00:00";79288;;
"2022-07-09 00:00:00";74305;;
"2022-07-10 00:00:00";73966;;
"2022-07-11 00:00:00";68924;;
"2022-07-12 00:00:00";66107;;
"2022-07-13 00:00:00";67242;;
"2022-07-14 00:00:00";65796;;
"2022-07-15 00:00:00";74813;;
"2022-07-16 00:00:00";77122;;
"2022-07-17 00:00:00";74697;;
"2022-07-18 00:00:00";71649;;
"2022-07-19 00:00:00";67974;;
"2022-07-20 00:00:00";67424;;
"2022-07-21 00:00:00";69476;;
"2022-07-22 00:00:00";73061;;
"2022-07-23 00:00:00";74932;;
"2022-07-24 00:00:00";74181;;
"2022-07-25 00:00:00";70362;;
"2022-07-26 00:00:00";63413;;
"2022-07-27 00:00:00";64208;;
"2022-07-28 00:00:00";62250;;
"2022-07-29 00:00:00";70058;;
"2022-07-30 00:00:00";67784;;
"2022-07-31 00:00:00";69252;;
"2022-08-01 00:00:00";62463;;
"2022-08-02 00:00:00";60513;;
"2022-08-03 00:00:00";61367;;
"2022-08-04 00:00:00";57352;;
"2022-08-05 00:00:00";68397;;
"2022-08-06 00:00:00";73685;;
"2022-08-07 00:00:00";78529;;
"2022-08-08 00:00:00";71449;;
"2022-08-09 00:00:00";48023;;
"2022-08-10 00:00:00";61721;;
"2022-08-11 00:00:00";68659;;
"2022-08-12 00:00:00";85691;;
"2022-08-13 00:00:00";86022;;
"2022-08-14 00:00:00";87576;;
"2022-08-15 00:00:00";84881;;
"2022-08-16 00:00:00";80390;;
"2022-08-17 00:00:00";79669;;
"2022-08-18 00:00:00";78858;;
"2022-08-19 00:00:00";78352;;
"2022-08-20 00:00:00";83778;;
"2022-08-21 00:00:00";82322;;
"2022-08-22 00:00:00";73440;;
"2022-08-23 00:00:00";70371;;
"2022-08-24 00:00:00";66350;;
"2022-08-25 00:00:00";64034;;
"2022-08-26 00:00:00";69444;;
"2022-08-27 00:00:00";73682;;
"2022-08-28 00:00:00";75436;;
"2022-08-29 00:00:00";68361;;
"2022-08-30 00:00:00";72257;;
"2022-08-31 00:00:00";67532;;
"2022-09-01 00:00:00";68005;;
"2022-09-02 00:00:00";75710;;
"2022-09-03 00:00:00";78541;;
"2022-09-04 00:00:00";81210;;
"2022-09-05 00:00:00";71815;;
"2022-09-06 00:00:00";67725;;
"2022-09-07 00:00:00";70652;;
"2022-09-08 00:00:00";63858;;
"2022-09-09 00:00:00";66375;;
"2022-09-10 00:00:00";69617;;
"2022-09-11 00:00:00";71865;;
"2022-09-12 00:00:00";56683;;
"2022-09-13 00:00:00";55134;;
"2022-09-14 00:00:00";52914;;
"2022-09-15 00:00:00";52427;;
"2022-09-16 00:00:00";54421;;
"2022-09-17 00:00:00";59252;;
"2022-09-18 00:00:00";56427;;
"2022-09-19 00:00:00";48595;;
"2022-09-20 00:00:00";46599;;
"2022-09-21 00:00:00";45050;;
"2022-09-22 00:00:00";43305;;
"2022-09-23 00:00:00";44156;28929;
"2022-09-24 00:00:00";46837;33625;
"2022-09-25 00:00:00";46580;32873;
"2022-09-26 00:00:00";37116;24014;
"2022-09-27 00:00:00";35046;22327;
"2022-09-28 00:00:00";35074;22469;
"2022-09-29 00:00:00";34704;22338;
"2022-09-30 00:00:00";34577;22977;
"2022-10-01 00:00:00";37605;26691;
"2022-10-02 00:00:00";37992;26426;
"2022-10-03 00:00:00";30808;20414;
"2022-10-04 00:00:00";30164;19469;
"2022-10-05 00:00:00";30126;19387;
"2022-10-06 00:00:00";29297;19185;
"2022-10-07 00:00:00";33117;21309;
"2022-10-08 00:00:00";35073;25080;
"2022-10-09 00:00:00";34059;24293;
"2022-10-10 00:00:00";30404;19454;
"2022-10-11 00:00:00";27581;17733;
"2022-10-12 00:00:00";30082;18819;
"2022-10-13 00:00:00";28248;18228;
"2022-10-14 00:00:00";31535;20476;
"2022-10-15 00:00:00";34212;24519;
"2022-10-16 00:00:00";31333;22805;
"2022-10-17 00:00:00";26264;17143;
"2022-10-18 00:00:00";26970;17251;
"2022-10-19 00:00:00";26308;16799;
"2022-10-20 00:00:00";26544;16887;
"2022-10-21 00:00:00";29139;18679;
"2022-10-22 00:00:00";31735;22438;
"2022-10-23 00:00:00";31036;21932;
"2022-10-24 00:00:00";24555;16596;
"2022-10-25 00:00:00";24688;16137;
"2022-10-26 00:00:00";25041;16124;
"2022-10-27 00:00:00";24555;16396;
"2022-10-28 00:00:00";27511;18445;
"2022-10-29 00:00:00";30519;21232;
"2022-10-30 00:00:00";28724;20974;
"2022-10-31 00:00:00";23703;16360;
"2022-11-01 00:00:00";24933;15927;
"2022-11-02 00:00:00";25392;16419;
"2022-11-03 00:00:00";23738;15742;
"2022-11-04 00:00:00";26980;17448;
"2022-11-05 00:00:00";29484;21104;
"2022-11-06 00:00:00";27946;20204;
"2022-11-07 00:00:00";22915;14989;
"2022-11-08 00:00:00";22430;14953;
"2022-11-09 00:00:00";22839;14735;
"2022-11-10 00:00:00";23745;15307;
"2022-11-11 00:00:00";26083;17216;
"2022-11-12 00:00:00";28838;20613;
"2022-11-13 00:00:00";28137;20401;
"2022-11-14 00:00:00";24343;16096;
"2022-11-15 00:00:00";24983;16232;
"2022-11-16 00:00:00";21892;15046;
"2022-11-17 00:00:00";22645;15117;
"2022-11-18 00:00:00";23720;16094;
"2022-11-19 00:00:00";26862;18998;
"2022-11-20 00:00:00";25214;17927;
"2022-11-21 00:00:00";21079;13261;
"2022-11-22 00:00:00";20962;13537;
"2022-11-23 00:00:00";20912;13353;
"2022-11-24 00:00:00";21755;13426;
"2022-11-25 00:00:00";23611;15224;
"2022-11-26 00:00:00";26513;18295;
"2022-11-27 00:00:00";25677;17711;
"2022-11-28 00:00:00";21454;13421;
"2022-11-29 00:00:00";20581;13216;
"2022-11-30 00:00:00";21495;13506;
"2022-12-01 00:00:00";21954;13860;
"2022-12-02 00:00:00";24177;15154;
"2022-12-03 00:00:00";27246;18314;
"2022-12-04 00:00:00";26202;18159;
"2022-12-05 00:00:00";21843;14109;
"2022-12-06 00:00:00";21282;13863;
"2022-12-07 00:00:00";21996;14567;
"2022-12-08 00:00:00";23347;15322;
"2022-12-09 00:00:00";23383;14562;
"2022-12-10 00:00:00";27381;17411;
"2022-12-11 00:00:00";25217;18011;
"2022-12-12 00:00:00";21362;14434;
"2022-12-13 00:00:00";22417;13961;
"2022-12-14 00:00:00";22228;13957;
